treat.pair,site,disturbance.type,disturbed/control,metric,value,lowCI,uppCI
1,TNF Seca Floresta,drought,control,ERR,0.537853083,0.499450651,0.576255514
1,TNF Seca Floresta,drought,control,gap.frac,0.031666667,0.008417001,0.054916333
1,TNF Seca Floresta,drought,control,hetero.frac,1.583333333,NA,NA
1,TNF Seca Floresta,drought,control,ht.light50,13.76666667,11.99683552,15.53649781
1,TNF Seca Floresta,drought,control,lahv,68.30933072,59.68782355,76.93083789
1,TNF Seca Floresta,drought,control,lai,5.62232042,5.284576059,5.960064781
1,TNF Seca Floresta,drought,control,lai50,9.333333333,8.46015953,10.20650714
1,TNF Seca Floresta,drought,control,lawh,11.86595153,10.74720302,12.98470004
1,TNF Seca Floresta,drought,control,max.can.ht,40,NA,NA
1,TNF Seca Floresta,drought,control,mean.can.ht,21.07800702,19.1102932,23.04572085
1,TNF Seca Floresta,drought,control,sd.can.ht,6.494005002,5.582163344,7.40584666
1,TNF Seca Floresta,drought,disturbed,ERR,0.495365769,0.456558598,0.53417294
1,TNF Seca Floresta,drought,disturbed,gap.frac,0.024137931,0.008287561,0.039988302
1,TNF Seca Floresta,drought,disturbed,hetero.frac,1.384615385,NA,NA
1,TNF Seca Floresta,drought,disturbed,ht.light50,12.72413793,11.61977021,13.82850565
1,TNF Seca Floresta,drought,disturbed,lahv,66.31341359,60.63293359,71.99389359
1,TNF Seca Floresta,drought,disturbed,lai,5.701044753,5.434925759,5.967163747
1,TNF Seca Floresta,drought,disturbed,lai50,9.413793103,8.535543845,10.29204236
1,TNF Seca Floresta,drought,disturbed,lawh,11.57837642,10.82439009,12.33236275
1,TNF Seca Floresta,drought,disturbed,max.can.ht,37,NA,NA
1,TNF Seca Floresta,drought,disturbed,mean.can.ht,22.42855212,21.50129975,23.35580449
1,TNF Seca Floresta,drought,disturbed,sd.can.ht,7.340552562,6.475088858,8.206016266
2,Caxiuanã,drought,control,ERR,0.528336818,0.484111147,0.572562488
2,Caxiuanã,drought,control,gap.frac,0.013043478,-0.005662044,0.031749
2,Caxiuanã,drought,control,hetero.frac,1.15,NA,NA
2,Caxiuanã,drought,control,ht.light50,20.26086957,18.09753156,22.42420758
2,Caxiuanã,drought,control,lahv,82.16711251,70.90785983,93.4263652
2,Caxiuanã,drought,control,lai,5.41200553,5.071855098,5.752155963
2,Caxiuanã,drought,control,lai50,14.13043478,12.30978253,15.95108704
2,Caxiuanã,drought,control,lawh,14.89655343,13.48163166,16.3114752
2,Caxiuanã,drought,control,max.can.ht,46,NA,NA
2,Caxiuanã,drought,control,mean.can.ht,26.3502976,24.52301174,28.17758346
2,Caxiuanã,drought,control,sd.can.ht,5.641330138,4.797816967,6.484843309
2,Caxiuanã,drought,disturbed,ERR,0.519449645,0.490625873,0.548273416
2,Caxiuanã,drought,disturbed,gap.frac,0,0,0
2,Caxiuanã,drought,disturbed,hetero.frac,1.136363636,NA,NA
2,Caxiuanã,drought,disturbed,ht.light50,22.43636364,21.15896582,23.71376145
2,Caxiuanã,drought,disturbed,lahv,93.19686109,85.98841776,100.4053044
2,Caxiuanã,drought,disturbed,lai,5.489351199,5.195564908,5.783137489
2,Caxiuanã,drought,disturbed,lai50,16.03636364,15.01157002,17.06115725
2,Caxiuanã,drought,disturbed,lawh,16.86795436,16.04752424,17.68838448
2,Caxiuanã,drought,disturbed,max.can.ht,43,NA,NA
2,Caxiuanã,drought,disturbed,mean.can.ht,26.5087832,25.4000929,27.6174735
2,Caxiuanã,drought,disturbed,sd.can.ht,5.674230744,5.063613825,6.284847663
3,TNF K83,selective logging,control,ERR,0.502488765,0.435513561,0.56946397
3,TNF K83,selective logging,control,gap.frac,0.008333333,-0.008,0.024666667
3,TNF K83,selective logging,control,hetero.frac,1.1,NA,NA
3,TNF K83,selective logging,control,ht.light50,19.83333333,17.25927236,22.40739431
3,TNF K83,selective logging,control,lahv,91.63485446,75.37316626,107.8965427
3,TNF K83,selective logging,control,lai,5.958381624,5.400373625,6.516389623
3,TNF K83,selective logging,control,lai50,14.33333333,12.44389646,16.22277021
3,TNF K83,selective logging,control,lawh,15.16141811,13.34743143,16.97540479
3,TNF K83,selective logging,control,max.can.ht,41,NA,NA
3,TNF K83,selective logging,control,mean.can.ht,23.92544017,20.72841703,27.12246331
3,TNF K83,selective logging,control,sd.can.ht,4.42314649,3.386821035,5.459471944
3,TNF K83,selective logging,disturbed,ERR,0.486762526,0.442461643,0.531063409
3,TNF K83,selective logging,disturbed,gap.frac,0.020833333,0.000469997,0.041196669
3,TNF K83,selective logging,disturbed,hetero.frac,1.307692308,NA,NA
3,TNF K83,selective logging,disturbed,ht.light50,13.66666667,12.05910182,15.27423151
3,TNF K83,selective logging,disturbed,lahv,66.96589881,57.31759404,76.61420358
3,TNF K83,selective logging,disturbed,lai,5.833775872,5.312552397,6.354999347
3,TNF K83,selective logging,disturbed,lai50,9.666666667,8.620268658,10.71306468
3,TNF K83,selective logging,disturbed,lawh,11.19494236,10.17851386,12.21137087
3,TNF K83,selective logging,disturbed,max.can.ht,36,NA,NA
3,TNF K83,selective logging,disturbed,mean.can.ht,17.67492429,15.97106548,19.37878311
3,TNF K83,selective logging,disturbed,sd.can.ht,5.857918814,4.846193023,6.869644604
4,BDFFP (Dimona fragment),fragmentation,control,ERR,0.561926778,0.537526105,0.586327451
4,BDFFP (Dimona fragment),fragmentation,control,gap.frac,0.036470588,0.019473665,0.053467512
4,BDFFP (Dimona fragment),fragmentation,control,hetero.frac,1.222222222,NA,NA
4,BDFFP (Dimona fragment),fragmentation,control,ht.light50,17.85882353,16.8080043,18.90964276
4,BDFFP (Dimona fragment),fragmentation,control,lahv,84.14009245,78.82472936,89.45545555
4,BDFFP (Dimona fragment),fragmentation,control,lai,6.107742133,5.926150824,6.289333441
4,BDFFP (Dimona fragment),fragmentation,control,lai50,12.24705882,11.44762821,13.04648944
4,BDFFP (Dimona fragment),fragmentation,control,lawh,13.54943485,12.97460298,14.12426673
4,BDFFP (Dimona fragment),fragmentation,control,max.can.ht,40,NA,NA
4,BDFFP (Dimona fragment),fragmentation,control,mean.can.ht,24.71484339,23.89941118,25.53027559
4,BDFFP (Dimona fragment),fragmentation,control,sd.can.ht,4.615739178,4.223408641,5.008069716
4,BDFFP (Dimona fragment),fragmentation,disturbed,ERR,0.538659019,0.515871268,0.561446769
4,BDFFP (Dimona fragment),fragmentation,disturbed,gap.frac,0.017777778,0.008192887,0.027362669
4,BDFFP (Dimona fragment),fragmentation,disturbed,hetero.frac,1.235294118,NA,NA
4,BDFFP (Dimona fragment),fragmentation,disturbed,ht.light50,17.4,16.58657708,18.21342292
4,BDFFP (Dimona fragment),fragmentation,disturbed,lahv,81.72553824,77.19824408,86.25283239
4,BDFFP (Dimona fragment),fragmentation,disturbed,lai,6.099030189,5.901016712,6.297043667
4,BDFFP (Dimona fragment),fragmentation,disturbed,lai50,12.3,11.56876365,13.03123635
4,BDFFP (Dimona fragment),fragmentation,disturbed,lawh,13.3280156,12.80422544,13.85180576
4,BDFFP (Dimona fragment),fragmentation,disturbed,max.can.ht,40,NA,NA
4,BDFFP (Dimona fragment),fragmentation,disturbed,mean.can.ht,23.16718169,22.46231589,23.87204749
4,BDFFP (Dimona fragment),fragmentation,disturbed,sd.can.ht,3.79411205,3.398551922,4.189672177
5,Reserva Ducke,fragmentation,control,ERR,0.550691775,0.537127971,0.56425558
