treat.pair,site,disturbance.type,disturbed/control,ht,lad,lowCI,uppCI
1,TNF Seca Floresta,drought,control,1,0,0,0
1,TNF Seca Floresta,drought,control,2,0,0,0
1,TNF Seca Floresta,drought,control,3,0.072147013,0.052560353,0.091733673
1,TNF Seca Floresta,drought,control,4,0.403469037,0.310414533,0.496523542
1,TNF Seca Floresta,drought,control,5,0.400102593,0.342327755,0.457877432
1,TNF Seca Floresta,drought,control,6,0.529761822,0.41617363,0.643350014
1,TNF Seca Floresta,drought,control,7,0.523717547,0.420060425,0.627374668
1,TNF Seca Floresta,drought,control,8,0.441534121,0.349944171,0.533124071
1,TNF Seca Floresta,drought,control,9,0.417535052,0.314274504,0.5207956
1,TNF Seca Floresta,drought,control,10,0.400579962,0.292764688,0.508395235
1,TNF Seca Floresta,drought,control,11,0.31423285,0.218597016,0.409868683
1,TNF Seca Floresta,drought,control,12,0.22518577,0.137830992,0.312540547
1,TNF Seca Floresta,drought,control,13,0.193910199,0.122744233,0.265076166
1,TNF Seca Floresta,drought,control,14,0.184449171,0.11511946,0.253778882
1,TNF Seca Floresta,drought,control,15,0.163281297,0.096648847,0.229913747
1,TNF Seca Floresta,drought,control,16,0.12534912,0.060744479,0.18995376
1,TNF Seca Floresta,drought,control,17,0.063535331,0.026739741,0.100330921
1,TNF Seca Floresta,drought,control,18,0.091801951,0.042803051,0.14080085
1,TNF Seca Floresta,drought,control,19,0.08060284,0.033410598,0.127795082
1,TNF Seca Floresta,drought,control,20,0.057996421,0.022618522,0.093374319
1,TNF Seca Floresta,drought,control,21,0.060354832,0.02866301,0.092046655
1,TNF Seca Floresta,drought,control,22,0.058984216,0.024460189,0.093508242
1,TNF Seca Floresta,drought,control,23,0.084478142,0.044063022,0.124893262
1,TNF Seca Floresta,drought,control,24,0.070348784,0.027098197,0.11359937
1,TNF Seca Floresta,drought,control,25,0.121950437,0.060511057,0.183389817
1,TNF Seca Floresta,drought,control,26,0.107070399,0.056238129,0.157902669
1,TNF Seca Floresta,drought,control,27,0.131640066,0.071168976,0.192111157
1,TNF Seca Floresta,drought,control,28,0.043033961,0.013615992,0.07245193
1,TNF Seca Floresta,drought,control,29,0.036646587,-0.003655859,0.076949033
1,TNF Seca Floresta,drought,control,30,0.035297968,0.001867784,0.068728152
1,TNF Seca Floresta,drought,control,31,0.023801427,-0.000230942,0.047833796
1,TNF Seca Floresta,drought,control,32,0.037317701,0.003775006,0.070860395
1,TNF Seca Floresta,drought,control,33,0.03543231,0.001431984,0.069432636
1,TNF Seca Floresta,drought,control,34,0.017817469,0.00175415,0.033880788
1,TNF Seca Floresta,drought,control,35,0.018690859,-0.000403758,0.037785476
1,TNF Seca Floresta,drought,control,36,0.016701899,0.000873533,0.032530265
1,TNF Seca Floresta,drought,control,37,0.005509677,-0.001429123,0.012448478
1,TNF Seca Floresta,drought,control,38,0.011510121,-0.00401112,0.027031363
1,TNF Seca Floresta,drought,control,39,0.003704355,-0.003474306,0.010883015
1,TNF Seca Floresta,drought,control,40,9.62E-05,-9.24E-05,0.000284752
1,TNF Seca Floresta,drought,control,41,0.000690132,-0.000662527,0.002042792
1,TNF Seca Floresta,drought,control,42,0.011161428,-0.010714971,0.033037827
1,TNF Seca Floresta,drought,control,43,0.000889353,-0.000853778,0.002632483
1,TNF Seca Floresta,drought,control,44,0,0,0
1,TNF Seca Floresta,drought,control,45,0,0,0
1,TNF Seca Floresta,drought,control,46,0,0,0
1,TNF Seca Floresta,drought,control,47,0,0,0
1,TNF Seca Floresta,drought,control,48,0,0,0
1,TNF Seca Floresta,drought,control,49,0,0,0
1,TNF Seca Floresta,drought,control,50,0,0,0
1,TNF Seca Floresta,drought,control,51,0,0,0
1,TNF Seca Floresta,drought,control,52,0,0,0
1,TNF Seca Floresta,drought,control,53,0,0,0
1,TNF Seca Floresta,drought,control,54,0,0,0
1,TNF Seca Floresta,drought,control,55,0,0,0
1,TNF Seca Floresta,drought,control,56,0,0,0
1,TNF Seca Floresta,drought,control,57,0,0,0
1,TNF Seca Floresta,drought,control,58,0,0,0
1,TNF Seca Floresta,drought,control,59,0,0,0
1,TNF Seca Floresta,drought,control,60,0,0,0
1,TNF Seca Floresta,drought,disturbed,1,0,0,0
1,TNF Seca Floresta,drought,disturbed,2,0,0,0
1,TNF Seca Floresta,drought,disturbed,3,0.065424078,0.034085059,0.096763097
1,TNF Seca Floresta,drought,disturbed,4,0.347181556,0.274907356,0.419455756
1,TNF Seca Floresta,drought,disturbed,5,0.441201945,0.352999241,0.529404649
1,TNF Seca Floresta,drought,disturbed,6,0.516399424,0.432931885,0.599866963
1,TNF Seca Floresta,drought,disturbed,7,0.615103052,0.494881584,0.73532452
1,TNF Seca Floresta,drought,disturbed,8,0.422017672,0.343620726,0.500414617
1,TNF Seca Floresta,drought,disturbed,9,0.435985322,0.35240032,0.519570324
1,TNF Seca Floresta,drought,disturbed,10,0.357088742,0.253697222,0.460480263
1,TNF Seca Floresta,drought,disturbed,11,0.322938249,0.238335322,0.407541175
